SDRs per currency unit for the period  January 02, 2003 - December 15, 2017;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Date;ALGERIAN DINAR   (DZD)                     ;Brunei dollar   (BND)                     ;Canadian dollar   (CAD)                     ;Colombian peso   (COP)                     ;euro   (EUR)                     ;Iranian rial   (IRR)                     ;Kazakhstani tenge   (KZT)                     ;Kuwaiti dinar   (KWD)                     ;Libyan dinar   (LYD)                     ;Qatar riyal   (QAR)                     ;rial Omani   (OMR)                     ;Russian ruble   (RUB)                     ;Saudi Arabian riyal   (SAR)                     ;U.A.E. dirham   (AED)                     ;U.K. pound sterling   (GBP)                     ;U.S. dollar   (USD)                     ;Venezuelan bolivar   (VEB)                     
2-Jan-2003;;0,422679;0,467747;0,000257108;0,769412;9,26152E-05;;;0,607999;0,202352;1,91563;;0,196416;0,200561;1,18402;0,736561;0,000525552
3-Jan-2003;;0,424076;0,472479;0,000260171;0,769152;;;;0,607999;0,203335;1,92494;;0,19737;0,201535;1,1803;0,740139;0,00052754
6-Jan-2003;;0,422687;0,471715;0,000258902;0,771587;9,28421E-05;;2,45531;0,607999;0,202112;1,91336;;0,196183;0,200323;1,18681;0,735686;
7-Jan-2003;;0,424663;0,47396;0,000260068;0,770405;0,000092191;;2,46637;0,607999;0,203021;1,92197;;0,197066;0,201225;1,18498;0,738998;0,000519598
8-Jan-2003;;0,424412;0,473532;0,000256547;0,767198;9,25949E-05;;2,46746;0,607999;0,203111;1,92282;;0,197153;0,201314;1,1841;0,739325;0,000490025
9-Jan-2003;;0,423422;0,473403;0,000253375;0,772817;9,25889E-05;;2,45757;0,607999;0,202068;1,91294;;0,19614;0,200279;1,18368;0,735526;
10-Jan-2003;;0,423309;0,474789;0,00025246;0,77294;9,25889E-05;;;0,607999;0,202177;1,91397;;0,196246;0,200387;1,18373;0,735923;0,00048632
13-Jan-2003;;0,423187;0,476819;0,000253;0,77552;9,22208E-05;;2,45635;0,607999;0,201967;1,91199;;0,196043;0,20018;1,17934;0,73516;0,000471559
14-Jan-2003;;0,423166;0,476484;0,000252415;0,775974;9,21599E-05;;2,45128;0,607999;0,20155;1,90804;;0,195638;0,199767;1,17786;0,733643;0,000455467
15-Jan-2003;;0,423961;0,478834;0,000253219;0,773773;9,19468E-05;;2,45617;0,607999;0,201952;1,91185;;0,196028;0,200165;1,17499;0,735106;0,000428321
16-Jan-2003;;0,423518;0,477551;0,000252515;0,775039;;;2,45134;0,607999;0,201555;1,90809;;0,195643;0,199772;1,17701;0,733661;0,000427666
17-Jan-2003;;0,422421;0,476125;0,000249657;0,778706;;;;0,607999;0,200836;1,90128;;0,194945;0,199058;1,18151;0,731042;0,000416133
20-Jan-2003;;0,421995;0,476824;0,000250303;0,779567;9,17127E-05;;2,44923;0,607999;0,201039;1,9032;;0,195142;0,19926;1,17568;0,731782;
21-Jan-2003;;0,422293;0,4778;0,000250325;0,780297;9,16093E-05;;2,45153;0,607999;0,201227;1,90499;;0,195325;0,199446;1,17685;0,732467;0,000395661
22-Jan-2003;;0,421397;0,476767;0,000248962;0,78285;9,18223E-05;;2,44463;0,607999;0,200661;1,89963;;0,194775;0,198886;1,1761;0,730407;0,000394548
23-Jan-2003;;0,420159;0,478201;0,000247258;0,783843;9,16445E-05;;2,43886;0,607999;0,200187;1,89514;;0,194315;0,198416;1,18163;0,728682;0,000393616
24-Jan-2003;;0,420398;0,47804;0,000248601;0,784671;9,16445E-05;;;0,607999;0,199897;1,89239;;0,194033;0,198128;1,18632;0,727625;0,000393045
27-Jan-2003;;0,419136;0,475129;0,000247707;0,787506;9,12614E-05;;2,42714;0,607999;0,199032;1,88421;;0,193194;0,197271;1,18669;0,724477;0,000391345
28-Jan-2003;;0,420215;0,473535;0,000246701;0,78612;9,09687E-05;;2,43677;0,607999;0,199821;1,89168;;0,19396;0,198053;1,19118;0,72735;0,000392897
29-Jan-2003;;0,418643;0,47605;0,00024443;0,787801;9,13415E-05;;2,42849;0,607999;0,199143;1,88526;;0,193302;0,197381;1,19381;0,724881;
30-Jan-2003;;0,420714;0,47587;0,000246893;0,783001;9,10423E-05;;2,44065;0,607999;0,20014;1,89469;;0,194269;0,198369;1,1973;0,728509;0,000393523
31-Jan-2003;;0,418057;0,47512;0,000248238;0,785737;9,10423E-05;;;0,607999;0,199576;1,88936;;0,193722;0,19781;1,19931;0,726458;0,000392415
3-Feb-2003;;;0,480274;0,000248299;0,783286;9,10235E-05;;2,4425;0,607999;0,200567;1,89874;;0,194684;0,198792;1,19599;0,730064;
4-Feb-2003;;0,416951;0,480582;0,000246076;0,787567;9,13953E-05;;2,43475;0,607999;0,19993;1,89271;;0,194066;0,198161;1,19729;0,727746;
5-Feb-2003;;0,416659;0,476546;0,000244073;0,790006;9,11275E-05;;2,42259;0,607999;0,198932;1,88326;;0,193097;0,197171;1,19587;0,724112;
6-Feb-2003;;0,417423;0,478137;0,000245665;0,78663;9,08548E-05;;2,43387;0,607999;0,199859;1,89203;;0,193996;0,19809;1,1978;0,727485;0,000455247
7-Feb-2003;;0,41883;0,479599;0,000246186;0,787077;9,08548E-05;;;0,607999;0,200417;1,89732;;0,194538;0,198643;1,1862;0,729518;0,000456519
10-Feb-2003;;0,416447;0,475796;0,000246609;0,787353;9,14182E-05;;;0,607999;0,200135;1,89464;;0,194264;0,198364;1,19028;0,728491;
11-Feb-2003;;0,417075;0,478923;0,000246827;0,784536;;;;0,607999;0,201319;1,90585;;0,195413;0,199537;1,18662;0,7328;0,000458573
12-Feb-2003;;;0,478336;0,000246771;0,784686;;;;0,607999;0,200888;1,90178;;0,194995;0,19911;1,18328;0,731233;0,000457593
13-Feb-2003;;0,416594;0,480886;0,000246796;0,786094;9,16334E-05;;;0,607999;0,200743;1,90041;;0,194855;0,198967;1,18411;0,730706;0,000457263
14-Feb-2003;;0,415995;0,480442;0,00024654;0,787561;9,16334E-05;;;0,607999;0,200466;1,89778;;0,194586;0,198692;1,17955;0,729696;0,000456631
17-Feb-2003;;0,417307;0,481622;0,000247905;0,784946;0,000091418;;2,44394;0,607999;0,201236;1,90507;;0,195333;0,199455;1,17112;0,732499;
18-Feb-2003;;0,417371;0,483002;0,000249321;0,783892;0,000091418;;2,44112;0,607999;0,201003;1,90287;;0,195107;0,199225;1,1675;0,731652;0,000457855
19-Feb-2003;;0,417787;0,483206;0,000249748;0,784132;9,15366E-05;;2,44118;0,607999;0,201009;1,90292;;0,195112;0,19923;1,16577;0,731671;0,000457867
20-Feb-2003;;0,417517;0,485239;0,000248497;0,78564;0,000091482;;2,43542;0,607999;0,200534;1,89843;;0,194652;0,19876;1,16572;0,729945;
21-Feb-2003;;0,417741;0,483812;0,000247881;0,789365;0,000091482;;;0,607999;0,200091;1,89423;;0,194222;0,19832;1,16263;0,728331;
24-Feb-2003;;0,419494;0,489003;0,00024855;0,783402;9,10653E-05;;2,438;0,607999;0,200746;1,90043;;0,194858;0,19897;1,15307;0,730717;
25-Feb-2003;;0,419621;0,488527;0,000247258;0,785613;9,13739E-05;;;0,607999;0,200323;1,89642;;0,194447;0,19855;1,15005;0,729175;0,000456305
26-Feb-2003;;0,420948;0,489072;0,000247451;0,78543;9,10901E-05;;;0,607999;0,200667;1,89969;;0,194781;0,198891;1,15116;0,730429;0,000457089
27-Feb-2003;;0,41996;0,486948;0,000247069;0,787933;9,11781E-05;;;0,607999;0,200023;1,89359;;0,194156;0,198253;1,15299;0,728084;0,000455622
28-Feb-2003;;0,419794;0,490536;0,000246752;0,786521;9,11781E-05;;;0,607999;0,200405;1,89721;;0,194527;0,198632;1,15461;0,729476;
3-Mar-2003;;0,420013;0,491731;0,000246807;0,788426;9,10477E-05;;2,43569;0,607999;0,200556;1,89863;;0,194673;0,198781;1,15001;0,730024;
4-Mar-2003;;0,419129;0,492019;0,000245547;0,793605;9,09686E-05;;2,43072;0,607999;0,199673;1,89028;;0,193816;0,197906;1,14938;0,726811;
5-Mar-2003;;0,418372;0,492197;0,000244648;0,794664;0,000090546;;2,42354;0,607999;0,199083;1,88469;;0,193243;0,197321;1,15482;0,724662;
6-Mar-2003;;0,417706;0,492695;0,000244802;0,794602;9,02446E-05;;;0,607999;0,199122;1,88505;;0,193281;0,19736;1,16186;0,724803;
7-Mar-2003;;0,416534;0,492813;0,0002441;0,797636;9,02446E-05;;;0,607999;0,198506;1,87922;;0,192683;0,196749;1,16065;0,722562;
10-Mar-2003;;0,416339;0,492812;0,000244029;0,797525;8,96334E-05;;2,41908;0,607999;0,198424;1,87845;;0,192604;0,196668;1,15404;0,722265;
11-Mar-2003;;0,415939;0,490419;0,000243742;0,799916;8,95113E-05;;2,41801;0,607999;0,198337;1,87762;;0,192519;0,196582;1,15605;0,721946;0,000452347
12-Mar-2003;;0,4147;0,49044;0,000243717;0,796304;8,94934E-05;;;0,607999;0,198372;1,87796;;0,192553;0,196617;1,16485;0,722075;0,000452428
13-Mar-2003;;0,415348;0,489216;0,00024527;0,789254;;;2,42728;0,608;0,199584;1,88943;;0,19373;0,197818;1,16703;0,726486;0,000455192
14-Mar-2003;;0,416367;0,492579;;0,786683;;;;0,608;0,200577;1,89883;;0,194693;0,198802;1,16378;0,7301;0,000457456
17-Mar-2003;;0,416018;0,49179;0,000246571;0,788009;9,04481E-05;;2,4332;0,608;0,200431;1,89745;;0,194552;0,198658;1,15287;0,72957;0,000457124
18-Mar-2003;;0,417992;0,498277;0,0002492;0,779926;8,99371E-05;;2,4538;0,608;0,202404;1,91613;;0,196467;0,200613;1,15235;0,736752;0,000461624
19-Mar-2003;;0,416608;0,497262;;0,778107;9,05991E-05;;2,45178;0,608;0,202238;1,91456;;0,196306;0,200448;1,14486;0,736147;
20-Mar-2003;;0,416214;0,49797;0,000249083;0,779782;;;2,44902;0,608;0,202252;1,91469;;0,19632;0,200463;1,1534;0,736199;0,000461278
21-Mar-2003;;0,418148;0,495062;0,000249775;0,780202;;;;0,608;0,202744;1,91935;;0,196797;0,20095;1,15517;0,737989;0,000462399
24-Mar-2003;;0,416193;0,497177;0,000248936;0,782525;;;2,44492;0,608;0,202162;1,91384;;0,196232;0,200373;1,15753;0,735871;
25-Mar-2003;;0,416386;0,496563;0,000248193;0,784369;9,04021E-05;;2,4437;0,608;0,201558;1,90812;;0,195646;0,199775;1,15671;0,733672;
26-Mar-2003;;0,416293;0,500118;0,0002486;0,784742;9,00761E-05;;2,45036;0,608;0,202108;1,91332;;0,196179;0,200319;1,15545;0,735673;0,000460948
27-Mar-2003;;0,414273;0,499373;0,000247709;0,786189;9,02776E-05;;2,44206;0,608;0,201423;1,90684;;0,195515;0,199641;1,15344;0,73318;
28-Mar-2003;;0,41459;0,499864;0,000247978;0,78726;9,02776E-05;;;0,608;0,201566;1,90819;;0,195653;0,199782;1,14765;0,7337;
31-Mar-2003;;0,412276;0,495416;0,000246062;0,793062;9,01023E-05;;2,42776;0,608;0,199976;1,89314;;0,19411;0,198207;1,14989;0,727914;
1-Apr-2003;;0,41219;0,494427;;0,792966;;;2,43184;0,608;0,200026;1,89361;;0,194158;0,198255;1,14762;0,728093;0,000456199
2-Apr-2003;;0,412558;0,494366;0,000246651;0,790301;;;2,43732;0,608;0,200476;1,89788;;0,194595;0,198702;1,14838;0,729733;0,000457226
3-Apr-2003;;0,414726;0,497519;0,000248246;0,785463;;;;0,608;0,201632;1,90882;;0,195717;0,199848;1,147;0,73394;0,000459862
4-Apr-2003;;0,412976;0,498747;0,000248753;0,786962;;;;0,608;0,201677;1,90925;;0,195762;0,199893;1,14924;0,734106;0,000459966
7-Apr-2003;;0,414001;0,497353;0,000250568;0,781344;;;2,456;0,608;0,202849;1,92034;;0,196899;0,201054;1,14484;0,738371;0,000462638
8-Apr-2003;;0,413079;0,501103;0,000249989;0,784117;9,04979E-05;;2,44668;0,608;0,202079;1,91305;;0,196152;0,200291;1,14138;0,735569;0,000460883
9-Apr-2003;;;0,499897;0,000249717;0,788193;9,01765E-05;;2,44331;0,608;0,201579;1,90832;;0,195666;0,199796;1,1412;0,733749;
10-Apr-2003;;0,411244;0,502581;0,00025074;0,791208;9,00198E-05;;2,43835;0,608;0,201171;1,90445;;0,19527;0,19939;1,14467;0,732261;
